,count,s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,s_22,s_23,s_24,s_25,s_26,s_27,s_28,s_29,s_30,s_31,s_32,s_33,s_34,s_35,s_36,s_37,s_38,s_39,s_40,s_41,s_42,s_43,s_44,s_45,s_46,s_47,s_48,s_49,s_50,s_51,s_52,s_53,s_54,s_55,s_56,s_57,s_58,s_59,s_60,s_61,s_62,s_63,temperature,humidity
0,0,28499.5,28497.7,1858.8,1858.5,1858.7,1319.4,1319.8,1320.2,8735.1,8739.5,8739.3,1898.5,1898.3,1899.2,4568.8,4568.5,104211.4,104376.6,15572.9,15569.8,15580.9,2724.2,2726.6,2729.1,1573.2,1573.0,1573.2,2538.5,2538.1,2538.7,15638.2,15645.9,24211.2,24227.8,4122.1,4122.0,4121.9,2385.4,2386.6,2387.7,6455.2,6459.1,6460.0,2872.6,2873.4,2874.0,69805.3,69826.7,5700.5,5702.0,1712.4,1712.0,1712.1,4914.1,4914.8,4914.8,1670.0,1669.0,1669.1,1671.8,1671.2,1671.5,5318.0,5318.1,27.309999,29.219999
1,1,28506.5,28520.8,1860.3,1859.5,1859.8,1320.3,1320.4,1321.0,8741.4,8742.4,8745.3,1901.6,1900.7,1901.5,4569.0,4569.2,104207.8,104446.8,15575.0,15572.7,15572.7,2725.3,2728.1,2730.1,1573.3,1573.2,1573.5,2537.5,2537.7,2537.4,15642.4,15647.2,24211.5,24194.9,4122.8,4122.0,4120.9,2386.0,2386.8,2387.6,6454.2,6453.8,6453.5,2870.5,2870.4,2871.2,69757.5,69807.8,5697.6,5698.3,1711.1,1710.3,1710.3,4906.7,4906.2,4906.4,1669.8,1669.2,1669.5,1672.5,1672.8,1672.8,5315.7,5314.9,27.320000,31.120001
2,2,28473.5,28484.0,1858.0,1857.7,1858.1,1317.4,1317.6,1318.3,8737.2,8737.6,8738.9,1895.6,1896.2,1896.4,4566.0,4565.9,104220.3,104471.1,15578.2,15579.4,15583.7,2727.4,2730.1,2731.7,1572.5,1572.6,1572.7,2535.5,2535.1,2535.8,15636.8,15645.6,24188.3,24176.3,4107.9,4106.8,4107.3,2385.2,2385.7,2387.2,6436.1,6436.3,6436.2,2859.1,2859.5,2860.3,69639.1,69691.6,5695.2,5695.7,1711.1,1710.1,1710.6,4911.3,4911.6,4911.8,1670.4,1670.0,1670.1,1673.0,1672.2,1672.2,5318.9,5318.8,27.340000,32.090000
3,3,28508.1,28526.1,1860.5,1860.1,1860.7,1319.1,1319.4,1319.9,8743.9,8744.6,8749.8,1900.1,1900.2,1900.6,4567.9,4568.4,104262.5,104260.7,15584.1,15580.2,15590.6,2730.1,2732.1,2734.2,1573.9,1573.8,1574.0,2537.3,2537.0,2537.8,15648.2,15649.3,24198.0,24208.1,4107.2,4106.4,4106.8,2386.8,2387.7,2388.5,6443.7,6446.1,6445.7,2861.3,2861.9,2862.6,69742.6,69885.9,5699.9,5699.2,1713.0,1712.5,1712.7,4915.1,4916.3,4916.8,1671.6,1671.1,1671.2,1672.9,1672.6,1672.3,5317.1,5318.9,27.309999,33.950001
4,4,28522.3,28533.2,1861.3,1861.0,1861.3,1320.7,1320.9,1321.6,8748.0,8748.7,8750.1,1902.3,1902.4,1903.2,4568.6,4569.0,104150.4,104044.9,15592.7,15602.5,15595.9,2730.4,2732.9,2735.3,1574.4,1574.4,1574.5,2537.0,2537.2,2538.5,15639.2,15646.0,24185.6,24168.3,4103.1,4101.7,4101.9,2387.5,2387.7,2388.4,6436.9,6437.7,6436.9,2857.0,2856.5,2857.6,69716.1,69792.0,5698.2,5698.1,1713.0,1712.7,1712.7,4912.5,4912.8,4913.2,1671.4,1670.6,1671.1,1673.6,1672.5,1673.0,5317.5,5316.6,27.350000,34.360001
5,5,28503.1,28512.0,1859.1,1858.5,1858.4,1319.0,1319.0,1319.6,8741.1,8741.9,8741.8,1896.5,1896.6,1896.3,4565.2,4565.8,103975.2,104292.1,15594.6,15613.7,15616.0,2732.4,2735.4,2737.6,1573.6,1573.6,1573.8,2535.6,2535.2,2535.6,15641.4,15648.9,24213.1,24193.0,4090.3,4089.6,4090.9,2387.3,2388.2,2389.5,6425.5,6428.3,6429.8,2846.7,2847.4,2848.8,69716.1,69807.8,5697.1,5696.0,1708.3,1707.8,1708.2,4903.2,4903.4,4903.8,1671.9,1671.0,1670.9,1674.2,1672.8,1673.7,5315.4,5316.1,27.320000,34.340000
6,6,28509.7,28509.7,1860.0,1859.5,1859.9,1317.0,1317.1,1317.8,8747.3,8748.7,8750.6,1898.0,1897.7,1898.2,4567.2,4567.4,103991.3,104301.1,15599.5,15596.7,15608.8,2732.3,2734.9,2737.1,1577.6,1577.7,1577.8,2540.2,2540.0,2541.0,15648.2,15656.5,24266.5,24241.9,4120.2,4119.8,4120.2,2389.7,2390.3,2391.2,6471.3,6470.4,6470.9,2866.8,2866.7,2867.8,69846.4,69898.4,5696.6,5695.9,1710.7,1709.9,1710.3,4909.6,4909.1,4910.2,1672.1,1671.4,1671.5,1674.2,1672.9,1673.2,5315.9,5316.0,27.340000,35.980000
7,7,28513.2,28534.9,1861.4,1861.2,1861.3,1319.0,1319.4,1319.9,8748.9,8749.6,8751.4,1900.4,1900.3,1900.4,4567.8,4568.0,104152.2,104520.7,15607.0,15610.3,15611.1,2732.4,2735.2,2736.9,1578.3,1578.0,1578.4,2540.1,2541.1,2541.1,15653.5,15656.2,24202.0,24225.1,4123.6,4122.9,4123.1,2389.6,2390.1,2391.6,6465.9,6466.9,6467.4,2868.5,2868.9,2869.9,69737.0,69848.0,5697.9,5697.6,1711.6,1710.8,1711.4,4910.4,4911.4,4911.9,1673.3,1672.2,1672.5,1674.4,1674.2,1673.9,5312.9,5312.6,27.340000,36.060001
8,8,28503.6,28515.6,1861.7,1860.9,1861.1,1320.0,1320.0,1320.7,8751.6,8752.0,8751.7,1900.7,1899.9,1900.1,4567.6,4567.9,104090.5,104325.4,15618.5,15626.3,15640.3,2734.1,2736.9,2739.1,1576.5,1576.4,1576.5,2536.1,2536.7,2536.2,15648.9,15651.4,24202.7,24186.6,4097.3,4095.8,4095.1,2387.5,2388.1,2389.0,6425.2,6424.7,6426.8,2847.6,2847.4,2848.5,69809.4,69994.6,5695.1,5695.6,1711.6,1710.7,1710.6,4913.1,4912.0,4913.1,1672.7,1671.9,1672.4,1674.6,1674.3,1674.2,5317.2,5316.6,27.309999,35.490002
9,9,28500.2,28497.7,1860.5,1860.2,1860.7,1318.2,1318.6,1319.1,8749.3,8749.8,8751.3,1897.2,1897.9,1898.3,4566.9,4566.4,104235.6,104365.8,15632.1,15635.5,15638.0,2736.5,2739.2,2742.0,1576.2,1576.0,1576.3,2536.3,2536.0,2536.2,15639.7,15646.5,24204.1,24209.4,4081.9,4081.4,4080.3,2387.5,2388.2,2389.4,6421.1,6419.0,6421.0,2837.0,2837.5,2838.3,69721.3,69679.2,5696.8,5696.5,1710.6,1709.9,1710.1,4912.3,4912.7,4914.3,1673.4,1672.8,1672.9,1675.3,1675.2,1675.6,5317.2,5317.8,27.350000,35.750000
