,count,s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,s_22,s_23,s_24,s_25,s_26,s_27,s_28,s_29,s_30,s_31,s_32,s_33,s_34,s_35,s_36,s_37,s_38,s_39,s_40,s_41,s_42,s_43,s_44,s_45,s_46,s_47,s_48,s_49,s_50,s_51,s_52,s_53,s_54,s_55,s_56,s_57,s_58,s_59,s_60,s_61,s_62,s_63,temperature,humidity
0,0,29166.3,29175.7,1887.5,1887.0,1887.4,1368.3,1368.3,1368.8,9156.4,9158.7,9159.1,2010.6,2010.4,2010.4,4702.9,4702.7,105506.6,105594.0,15878.2,15889.1,15894.8,2768.9,2770.9,2773.4,1671.1,1671.4,1671.3,2590.7,2591.0,2591.4,15836.2,15837.5,24784.1,24780.5,4301.3,4300.3,4300.3,2417.7,2418.3,2419.3,6830.6,6831.3,6830.5,3035.1,3035.5,3036.6,71436.4,71448.7,5864.4,5865.6,1753.9,1753.3,1753.4,5209.1,5209.9,5209.8,1716.2,1715.1,1715.6,1676.9,1677.2,1677.3,5410.6,5409.9,27.490000,27.320000
1,1,29164.7,29169.2,1887.6,1886.8,1887.0,1367.6,1368.0,1368.6,9157.0,9158.4,9157.4,2010.9,2010.2,2011.2,4702.2,4702.3,105400.1,105554.4,15886.0,15886.6,15887.1,2767.9,2770.1,2772.4,1670.4,1670.5,1670.5,2591.9,2591.6,2591.6,15831.3,15836.6,24762.3,24760.2,4301.3,4299.1,4299.3,2417.7,2418.1,2419.2,6826.7,6826.9,6826.2,3035.1,3034.8,3035.5,71388.4,71497.2,5863.5,5864.5,1753.6,1752.9,1752.8,5207.8,5207.3,5207.7,1716.5,1716.0,1716.0,1676.8,1676.3,1675.9,5411.1,5411.8,27.450001,27.250000
2,2,29150.1,29148.5,1887.3,1886.9,1887.0,1367.4,1367.4,1367.9,9153.9,9155.0,9154.3,2009.6,2009.2,2009.1,4701.4,4701.5,105484.5,105522.2,15884.5,15884.5,15884.3,2767.2,2769.6,2771.7,1669.4,1669.2,1669.3,2590.8,2590.8,2591.6,15824.7,15833.1,24770.6,24767.8,4298.7,4297.5,4298.2,2417.1,2417.5,2418.7,6824.0,6823.6,6825.8,3033.5,3033.4,3033.8,71449.5,71519.6,5864.0,5861.9,1753.4,1752.9,1753.1,5203.1,5203.5,5204.4,1715.2,1715.0,1714.7,1676.6,1675.8,1676.6,5409.3,5410.3,27.480000,27.280001
3,3,29129.6,29121.5,1887.0,1886.8,1887.1,1366.9,1367.1,1367.5,9150.9,9151.6,9154.5,2008.2,2007.8,2008.4,4700.2,4700.4,105360.7,105525.9,15871.7,15866.4,15874.1,2766.5,2768.9,2771.5,1668.4,1668.3,1668.4,2590.9,2590.4,2591.4,15825.2,15828.6,24769.8,24761.1,4296.7,4295.9,4295.7,2416.5,2417.1,2418.2,6821.3,6822.6,6822.3,3032.3,3032.3,3032.8,71555.1,71502.2,5862.3,5861.6,1752.5,1751.5,1751.9,5203.3,5202.8,5203.0,1715.0,1714.3,1714.3,1677.3,1676.8,1677.4,5408.9,5408.9,27.480000,27.240000
4,4,29131.2,29135.6,1886.9,1886.5,1886.9,1366.1,1366.3,1366.7,9146.3,9148.1,9149.6,2007.1,2007.9,2008.0,4698.9,4699.4,105353.4,105446.9,15855.2,15855.3,15862.3,2766.4,2769.0,2770.9,1667.3,1667.0,1667.1,2590.1,2590.1,2590.8,15822.8,15826.1,24767.6,24778.8,4298.6,4296.8,4297.8,2416.0,2417.0,2417.7,6819.7,6820.0,6820.9,3030.6,3031.0,3031.8,71428.0,71469.3,5857.7,5857.4,1752.8,1752.1,1752.2,5200.1,5200.5,5200.3,1714.9,1714.0,1714.2,1677.1,1676.4,1676.7,5406.7,5405.8,27.490000,27.309999
5,5,29126.7,29131.8,1887.0,1886.5,1886.7,1365.5,1365.5,1366.0,9141.9,9145.1,9144.6,2006.7,2006.6,2006.8,4698.6,4698.0,104854.5,105380.9,15856.7,15853.0,15859.1,2764.5,2767.7,2769.7,1666.2,1666.1,1666.1,2589.0,2589.6,2590.2,15823.8,15824.7,24776.8,24777.7,4297.6,4296.9,4296.5,2416.2,2416.7,2417.7,6816.1,6816.4,6818.2,3029.2,3029.9,3030.7,71323.6,71575.8,5858.2,5857.0,1752.0,1751.4,1751.8,5197.9,5198.3,5199.1,1715.2,1714.4,1714.8,1677.2,1676.6,1677.0,5406.9,5406.6,27.480000,27.180000
6,6,29110.1,29120.9,1886.5,1886.3,1886.8,1365.5,1365.3,1365.7,9138.6,9139.0,9142.0,2005.8,2005.3,2005.8,4697.2,4697.2,105016.3,105187.8,15847.7,15853.4,15847.6,2764.8,2767.0,2769.4,1665.3,1665.3,1665.3,2588.5,2588.7,2589.9,15812.7,15823.4,24755.0,24757.0,4295.7,4294.5,4294.9,2416.0,2416.4,2417.4,6816.3,6815.0,6815.5,3029.0,3029.6,3030.5,71379.6,71507.3,5858.5,5857.0,1752.6,1751.9,1752.0,5197.1,5196.4,5195.8,1714.5,1714.3,1714.0,1677.3,1676.6,1676.5,5415.4,5416.1,27.480000,27.170000
7,7,29116.7,29134.0,1886.6,1886.0,1886.6,1364.9,1365.2,1365.5,9135.9,9137.7,9138.2,2006.4,2006.2,2006.3,4696.7,4696.8,105343.3,105490.1,15842.4,15858.7,15852.7,2763.7,2766.4,2769.2,1664.3,1664.3,1664.4,2588.2,2588.6,2588.9,15820.0,15816.3,24775.8,24770.2,4295.3,4292.5,4293.3,2415.4,2416.2,2417.3,6808.7,6809.2,6809.9,3026.7,3027.0,3027.6,71322.8,71380.4,5856.0,5854.5,1750.9,1750.7,1751.1,5192.7,5193.5,5193.5,1713.6,1713.4,1713.6,1677.5,1676.5,1676.1,5414.6,5412.2,27.459999,27.180000
8,8,29123.5,29105.7,1886.0,1885.7,1885.6,1364.3,1364.5,1365.0,9132.8,9130.7,9131.7,2005.2,2004.9,2005.0,4695.7,4696.1,105396.4,105270.0,15850.6,15852.1,15865.1,2764.0,2766.1,2767.9,1663.4,1663.4,1663.5,2588.0,2587.1,2588.2,15806.6,15819.5,24741.4,24749.1,4293.4,4292.3,4292.3,2415.2,2416.1,2417.2,6807.7,6807.6,6808.8,3025.0,3025.9,3026.2,71122.1,71519.6,5853.0,5856.0,1751.4,1750.1,1750.4,5191.8,5191.9,5191.9,1714.4,1713.3,1713.2,1676.6,1676.1,1676.4,5412.4,5412.5,27.459999,27.260000
9,9,29097.8,29120.9,1885.8,1885.2,1885.2,1363.9,1363.8,1364.5,9128.4,9129.5,9129.8,2004.3,2003.9,2004.2,4694.8,4694.8,105486.4,105520.4,15843.6,15850.9,15860.2,2763.0,2766.0,2768.1,1662.7,1662.5,1662.7,2587.6,2587.4,2587.5,15818.1,15819.3,24759.2,24750.1,4290.0,4290.9,4290.0,2415.0,2415.5,2416.5,6803.4,6804.6,6805.7,3024.8,3025.6,3025.9,71309.8,71376.2,5851.1,5852.7,1750.8,1750.3,1750.1,5188.9,5189.1,5190.2,1712.9,1712.3,1712.7,1677.4,1677.0,1676.8,5412.2,5410.4,27.480000,27.320000
