,count,s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,s_22,s_23,s_24,s_25,s_26,s_27,s_28,s_29,s_30,s_31,s_32,s_33,s_34,s_35,s_36,s_37,s_38,s_39,s_40,s_41,s_42,s_43,s_44,s_45,s_46,s_47,s_48,s_49,s_50,s_51,s_52,s_53,s_54,s_55,s_56,s_57,s_58,s_59,s_60,s_61,s_62,s_63,temperature,humidity
23,23,25478.9,25499.2,1797.7,1797.2,1797.5,1176.5,1176.5,1177.1,8387.0,8390.1,8389.8,1726.0,1726.3,1726.5,4307.8,4307.8,94216.0,94488.7,12759.9,12760.9,12755.5,2386.4,2388.6,2390.5,1412.0,1411.9,1411.9,2268.4,2268.2,2268.7,14216.3,14219.0,21599.0,21603.7,4552.9,4552.3,4552.1,1917.3,1917.9,1918.9,5881.8,5884.2,5884.7,2315.6,2315.6,2316.5,63427.0,63491.5,5047.6,5047.0,1493.9,1493.0,1493.3,4395.8,4395.2,4395.9,1322.0,1321.3,1321.4,1487.6,1487.2,1487.6,4543.6,4543.3,29.920000,20.809999
24,24,25476.9,25486.5,1798.3,1797.7,1798.0,1176.7,1176.7,1177.1,8385.1,8386.9,8386.7,1727.1,1726.8,1726.8,4308.0,4308.4,94286.5,94273.2,12761.5,12760.3,12766.5,2386.1,2388.4,2390.3,1412.1,1412.0,1412.0,2268.9,2269.1,2269.1,14212.1,14215.6,21574.5,21590.8,4552.8,4552.5,4552.0,1917.3,1918.1,1919.2,5886.1,5887.1,5887.0,2316.5,2317.0,2317.2,63405.7,63547.5,5046.7,5047.1,1493.8,1493.3,1493.4,4395.9,4396.8,4397.4,1321.8,1321.0,1321.4,1487.6,1487.0,1487.5,4542.2,4543.7,29.920000,20.740000
25,25,25466.3,25463.5,1798.4,1798.1,1798.4,1176.7,1176.6,1176.7,8384.4,8388.1,8387.2,1726.8,1726.5,1727.1,4307.9,4307.9,94318.0,94467.4,12760.4,12758.0,12766.5,2386.6,2388.7,2390.4,1411.9,1411.7,1411.8,2268.1,2268.6,2269.2,14218.5,14218.6,21594.4,21602.3,4554.7,4554.0,4553.7,1918.1,1918.5,1919.2,5885.6,5886.0,5885.3,2316.0,2316.0,2316.3,63448.6,63501.9,5047.5,5047.4,1493.3,1492.5,1492.9,4394.3,4394.7,4395.2,1320.9,1320.3,1320.6,1488.3,1487.8,1487.9,4545.2,4544.2,29.879999,20.570000
26,26,25468.5,25480.9,1798.5,1798.2,1798.1,1176.3,1176.5,1176.7,8378.3,8378.3,8379.7,1722.6,1722.4,1722.8,4306.0,4305.8,94207.2,94411.4,12761.0,12764.9,12766.4,2386.4,2388.8,2390.3,1410.4,1410.2,1410.2,2266.3,2266.4,2266.7,14204.4,14218.0,21585.9,21594.4,4546.5,4545.4,4546.2,1916.7,1917.4,1918.2,5864.9,5865.6,5866.1,2310.8,2311.0,2311.3,63338.7,63438.0,5044.6,5044.5,1492.3,1491.5,1491.4,4386.6,4387.1,4388.6,1320.3,1319.6,1319.8,1488.4,1488.1,1487.8,4542.7,4543.4,29.910000,20.379999
27,27,25456.9,25472.0,1797.3,1796.8,1797.2,1175.3,1175.5,1175.9,8376.0,8377.3,8379.0,1722.3,1722.3,1722.4,4305.9,4305.5,94267.4,94564.0,12762.9,12763.3,12760.8,2386.4,2388.3,2389.7,1410.6,1410.5,1410.7,2268.1,2267.4,2268.2,14210.9,14214.5,21588.8,21596.9,4545.8,4545.1,4545.1,1917.0,1917.6,1918.7,5870.4,5871.6,5872.2,2312.6,2312.6,2313.0,63488.9,63473.9,5046.8,5047.5,1492.8,1492.1,1492.5,4390.2,4390.2,4392.1,1320.5,1319.9,1320.0,1488.8,1488.3,1488.3,4544.6,4544.9,29.889999,21.090000
28,28,25461.5,25482.2,1798.8,1798.2,1798.4,1176.0,1176.1,1176.3,8378.9,8380.9,8381.6,1724.4,1723.9,1724.5,4306.8,4307.4,94369.5,94494.6,12756.2,12762.0,12765.5,2387.4,2389.4,2390.9,1410.6,1410.4,1410.5,2268.4,2268.3,2268.6,14215.0,14216.2,21593.5,21585.5,4547.6,4547.8,4547.6,1917.3,1917.9,1918.6,5878.0,5876.7,5878.3,2313.9,2314.2,2314.9,63330.4,63394.4,5047.0,5047.5,1493.4,1492.6,1492.8,4390.4,4390.4,4391.8,1320.4,1319.6,1319.8,1488.1,1488.2,1488.2,4544.3,4545.1,29.879999,21.440001
29,29,25468.2,25474.0,1798.7,1798.1,1798.5,1175.8,1175.8,1176.2,8376.3,8375.8,8378.3,1724.2,1723.8,1725.1,4306.2,4306.7,94109.9,94256.4,12765.6,12770.0,12771.0,2387.2,2388.9,2390.6,1410.3,1410.3,1410.4,2267.8,2267.9,2267.9,14212.3,14216.9,21616.9,21629.3,4548.0,4547.3,4546.7,1917.5,1917.6,1918.4,5879.5,5879.4,5879.5,2314.1,2313.8,2314.7,63386.1,63516.9,5047.7,5047.2,1493.4,1492.5,1492.7,4390.1,4390.0,4390.5,1319.7,1318.9,1318.9,1487.9,1487.8,1487.8,4544.1,4543.7,29.879999,20.959999
30,30,25472.1,25477.8,1798.9,1798.5,1798.8,1175.7,1175.7,1175.9,8372.5,8373.9,8375.5,1723.2,1723.7,1723.7,4307.2,4307.4,94598.7,94429.8,12765.2,12767.8,12766.8,2385.6,2387.8,2389.6,1410.2,1410.1,1410.1,2267.7,2267.9,2268.3,14209.5,14213.7,21618.9,21610.0,4546.6,4544.1,4544.6,1917.1,1917.5,1918.3,5878.0,5876.6,5877.4,2314.5,2314.6,2314.7,63531.2,63502.5,5047.1,5046.6,1493.6,1492.8,1492.9,4390.2,4390.6,4391.2,1319.5,1319.0,1319.1,1487.8,1487.8,1488.1,4556.7,4556.8,29.889999,20.600000
31,31,25469.5,25466.2,1799.4,1798.9,1798.8,1175.7,1175.6,1176.1,8369.7,8372.2,8373.8,1722.9,1722.4,1722.4,4306.3,4306.6,94180.1,94460.0,12765.0,12764.0,12766.2,2386.0,2388.4,2388.8,1409.2,1408.9,1409.0,2265.5,2266.1,2266.3,14203.6,14209.7,21584.3,21580.9,4537.8,4537.6,4536.9,1915.7,1916.4,1917.0,5853.9,5853.4,5851.6,2307.9,2308.0,2308.5,63245.1,63383.5,5044.8,5044.4,1491.8,1490.9,1491.0,4381.3,4382.0,4381.4,1318.8,1318.3,1318.4,1487.8,1487.4,1487.6,4554.6,4555.5,29.920000,20.299999
32,32,25448.1,25449.3,1797.5,1797.2,1797.6,1174.0,1174.1,1174.5,8362.9,8364.8,8365.6,1719.4,1719.4,1719.8,4304.2,4304.0,94131.8,94009.1,12756.8,12761.6,12765.1,2385.8,2387.4,2389.2,1408.9,1408.8,1409.0,2265.7,2265.2,2266.1,14208.0,14214.1,21590.4,21574.5,4536.7,4536.4,4537.0,1916.1,1916.6,1917.8,5854.5,5855.3,5857.1,2308.3,2308.2,2308.9,63296.6,63401.7,5044.4,5043.9,1492.1,1491.3,1491.7,4383.7,4382.8,4384.6,1318.4,1318.0,1318.0,1487.7,1487.4,1487.5,4555.9,4552.3,29.920000,20.780001
