,count,s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,s_22,s_23,s_24,s_25,s_26,s_27,s_28,s_29,s_30,s_31,s_32,s_33,s_34,s_35,s_36,s_37,s_38,s_39,s_40,s_41,s_42,s_43,s_44,s_45,s_46,s_47,s_48,s_49,s_50,s_51,s_52,s_53,s_54,s_55,s_56,s_57,s_58,s_59,s_60,s_61,s_62,s_63,temperature,humidity
0,0,25527.9,25527.9,1677.9,1677.6,1678.1,1163.0,1163.5,1164.2,8450.0,8453.1,8454.3,1649.9,1650.3,1651.1,4237.2,4237.2,94115.7,94407.0,12762.3,12761.6,12766.3,2376.3,2378.1,2379.2,1370.5,1370.4,1370.3,2213.3,2213.2,2212.5,14205.6,14205.0,20859.6,20860.0,4163.6,4157.7,4152.0,1868.9,1869.0,1869.9,5326.7,5327.4,5331.2,2198.7,2200.2,2202.6,63250.3,63415.4,4893.7,4893.3,1408.4,1408.5,1409.3,4297.3,4300.0,4301.9,1276.3,1276.0,1276.7,1451.0,1450.3,1450.8,4393.2,4393.2,28.889999,43.119999
1,1,25621.9,25641.3,1686.2,1685.6,1685.2,1166.8,1166.2,1165.8,8458.0,8451.8,8448.2,1649.8,1647.2,1645.5,4235.5,4235.9,94150.1,94297.5,12771.1,12773.0,12774.6,2374.9,2377.0,2379.0,1370.8,1370.8,1371.0,2212.3,2212.3,2213.3,14222.7,14223.0,20938.0,20946.4,4201.5,4201.3,4202.3,1874.7,1875.1,1876.2,5430.6,5432.1,5430.8,2229.7,2230.1,2230.1,63426.3,63621.0,4904.6,4905.4,1417.4,1417.5,1418.1,4310.7,4314.5,4316.5,1278.4,1277.8,1278.5,1451.7,1451.2,1451.8,4394.2,4394.4,28.910000,43.060001
2,2,25618.5,25564.4,1687.6,1686.6,1686.9,1169.4,1169.3,1169.7,8462.6,8462.8,8460.0,1661.9,1661.0,1660.8,4243.3,4243.4,94172.8,94349.6,12771.6,12767.7,12773.9,2374.6,2376.5,2378.3,1374.1,1374.2,1374.3,2216.5,2216.5,2216.7,14221.1,14223.6,20913.7,20915.8,4211.7,4204.1,4198.0,1871.9,1872.0,1872.7,5351.1,5350.3,5351.2,2212.4,2212.2,2212.7,63256.0,63344.0,4902.5,4904.9,1415.8,1415.6,1416.2,4300.8,4302.7,4304.8,1278.5,1278.0,1278.3,1452.0,1450.9,1451.3,4394.6,4395.0,28.910000,41.869999
3,3,25585.8,25598.6,1688.6,1688.1,1688.4,1169.0,1169.1,1169.8,8464.4,8466.8,8468.5,1664.3,1664.7,1664.5,4245.9,4245.3,94229.2,94357.7,12780.3,12787.1,12789.5,2374.7,2377.0,2378.5,1376.3,1376.0,1376.1,2219.0,2218.8,2219.5,14227.7,14233.7,20963.5,20958.5,4238.5,4239.2,4238.3,1876.8,1877.2,1877.6,5446.2,5441.6,5437.3,2242.2,2240.7,2239.7,63455.6,63510.2,4907.1,4906.7,1417.5,1415.9,1415.1,4281.8,4282.2,4281.7,1276.2,1275.7,1275.9,1450.4,1450.0,1450.8,4391.4,4391.7,28.920000,39.919998
4,4,25526.0,25542.5,1684.2,1683.4,1683.7,1159.0,1159.1,1159.5,8450.4,8452.5,8451.3,1647.1,1646.8,1646.9,4238.0,4238.4,94332.0,94464.4,12784.8,12782.0,12785.6,2374.0,2375.8,2377.9,1376.7,1376.6,1376.8,2219.1,2219.3,2219.7,14219.9,14225.1,20939.3,20957.6,4245.1,4245.6,4246.3,1877.5,1878.0,1879.2,5460.9,5460.2,5459.1,2246.6,2246.6,2246.6,63495.2,63530.5,4902.3,4901.8,1411.1,1409.0,1408.3,4276.3,4275.5,4275.0,1274.8,1274.0,1273.5,1446.3,1444.2,1443.6,4374.5,4374.1,28.940001,38.660000
5,5,25456.4,25472.1,1665.5,1665.0,1665.3,1127.5,1127.7,1128.5,8451.5,8453.5,8455.4,1623.1,1623.5,1623.8,4235.0,4235.1,94097.5,94359.2,12781.5,12778.6,12784.5,2377.1,2378.7,2380.3,1374.0,1374.0,1374.2,2212.5,2212.3,2212.1,14216.2,14205.9,20920.0,20908.9,4186.9,4185.5,4184.8,1872.6,1872.9,1873.5,5370.3,5362.1,5353.8,2189.8,2187.1,2183.3,62919.3,62976.2,4899.4,4900.2,1399.7,1399.6,1400.6,4300.9,4302.7,4304.7,1277.7,1276.9,1277.0,1448.1,1447.3,1447.7,4391.7,4391.5,28.920000,41.509998
6,6,25530.2,25541.7,1687.5,1688.0,1688.8,1153.4,1154.1,1155.4,8473.3,8476.5,8480.2,1657.0,1658.2,1659.8,4247.9,4248.4,94022.9,94451.1,12781.8,12789.5,12794.8,2378.6,2380.1,2382.3,1369.8,1369.8,1370.2,2216.8,2216.5,2217.7,14222.4,14224.5,20988.7,20986.7,4065.5,4067.3,4067.7,1872.2,1872.4,1873.2,5448.7,5445.4,5446.6,2186.6,2187.0,2187.4,63506.9,63583.3,4918.5,4916.8,1417.4,1416.4,1416.5,4322.3,4321.0,4319.8,1280.1,1279.4,1279.1,1449.0,1448.7,1448.6,4397.6,4398.1,28.940001,48.330002
7,7,25575.8,25566.0,1694.5,1695.0,1695.7,1161.8,1162.1,1162.6,8483.8,8486.1,8485.2,1662.8,1662.2,1661.4,4248.3,4247.3,94294.5,94490.2,12778.1,12776.3,12778.5,2377.7,2379.1,2381.2,1370.9,1370.3,1370.2,2209.5,2209.2,2209.8,14212.1,14218.3,20878.9,20878.1,4065.7,4059.3,4058.4,1868.1,1868.6,1869.9,5328.5,5333.1,5337.2,2165.5,2166.5,2167.2,63019.2,63153.3,4908.3,4909.0,1413.2,1413.1,1413.9,4310.1,4313.1,4312.6,1280.9,1280.3,1280.8,1451.4,1450.5,1451.0,4398.7,4397.8,28.950001,46.950001
8,8,25546.8,25545.8,1692.9,1693.0,1693.5,1160.6,1161.1,1162.0,8476.3,8479.4,8479.0,1658.3,1659.0,1659.8,4247.7,4247.4,94376.8,94363.6,12784.0,12790.3,12796.7,2380.2,2382.3,2384.1,1371.3,1371.9,1372.7,2212.5,2213.2,2214.0,14218.2,14223.6,20899.3,20886.9,4108.2,4105.2,4102.0,1869.8,1869.8,1869.8,5323.8,5317.0,5312.2,2161.3,2160.9,2161.1,62911.1,63029.3,4916.2,4916.4,1422.6,1422.4,1423.0,4327.4,4328.6,4329.7,1284.6,1283.7,1283.7,1453.2,1452.8,1452.9,4409.0,4407.3,28.940001,46.419998
9,9,25549.5,25553.5,1694.7,1694.1,1694.0,1165.6,1165.4,1165.6,8475.1,8476.6,8479.5,1662.5,1662.6,1664.1,4249.7,4250.0,94485.8,94455.6,12790.2,12794.9,12793.5,2379.8,2382.0,2383.7,1378.0,1378.0,1378.2,2217.5,2217.4,2218.1,14225.0,14231.7,20921.0,20930.4,4160.1,4161.2,4162.7,1874.6,1874.9,1876.1,5423.3,5427.7,5429.3,2204.9,2205.8,2206.4,63268.2,63338.7,4925.2,4925.6,1428.9,1428.7,1428.8,4337.0,4337.9,4337.5,1285.8,1285.2,1285.3,1455.1,1453.8,1454.4,4408.8,4408.7,28.940001,46.509998
