,count,s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,s_22,s_23,s_24,s_25,s_26,s_27,s_28,s_29,s_30,s_31,s_32,s_33,s_34,s_35,s_36,s_37,s_38,s_39,s_40,s_41,s_42,s_43,s_44,s_45,s_46,s_47,s_48,s_49,s_50,s_51,s_52,s_53,s_54,s_55,s_56,s_57,s_58,s_59,s_60,s_61,s_62,s_63,temperature,humidity
0,0,18295.0,18324.7,1299.0,1298.6,1298.9,1101.4,1101.4,1101.5,4529.4,4530.0,4530.3,1101.4,1101.4,1101.4,3052.9,3053.2,81642.7,81846.3,9746.6,9746.6,9749.5,1928.8,1929.5,1930.7,1101.4,1101.4,1101.4,1657.4,1657.5,1658.0,11162.3,11164.9,16522.3,16517.0,3018.0,3017.6,3017.7,1626.6,1626.7,1627.7,3589.3,3589.1,3589.0,1648.8,1648.5,1649.1,51094.9,51152.4,3866.8,3866.5,1134.0,1133.4,1133.4,2623.3,2623.6,2624.0,1101.5,1101.4,1101.4,1276.6,1276.1,1276.6,3547.2,3547.5,27.920000,20.420000
1,1,18289.6,18295.9,1299.4,1298.9,1299.0,1101.5,1101.4,1101.4,4528.6,4529.7,4530.4,1101.5,1101.4,1101.4,3053.1,3053.4,81732.0,81889.5,9751.7,9753.1,9757.3,1928.4,1929.6,1930.6,1101.4,1101.4,1101.4,1657.9,1658.0,1658.1,11160.3,11166.7,16522.6,16518.6,3018.1,3017.8,3017.5,1626.8,1626.8,1627.6,3589.9,3588.9,3589.2,1648.6,1648.3,1648.9,51094.1,51144.8,3867.3,3867.5,1134.4,1133.5,1133.6,2623.1,2623.0,2623.3,1101.4,1101.4,1101.4,1276.3,1276.0,1276.0,3547.4,3547.3,27.889999,20.389999
2,2,18296.8,18292.9,1298.9,1298.6,1298.8,1101.5,1101.4,1101.4,4529.3,4529.3,4529.8,1101.4,1101.4,1101.4,3053.2,3053.0,81556.9,81764.6,9742.4,9749.0,9749.7,1928.1,1929.0,1930.1,1101.4,1101.4,1101.4,1657.6,1657.4,1658.0,11158.9,11162.3,16514.5,16511.7,3017.6,3017.1,3016.9,1626.6,1626.9,1627.8,3590.2,3589.8,3589.8,1648.6,1648.8,1649.4,51064.3,51094.9,3869.4,3868.4,1134.4,1133.3,1133.6,2622.3,2622.6,2623.0,1101.5,1101.4,1101.4,1276.6,1276.3,1276.7,3548.0,3547.1,27.889999,20.370001
3,3,18285.8,18296.8,1298.8,1298.4,1298.6,1101.5,1101.5,1101.4,4530.0,4530.0,4529.3,1101.4,1101.4,1101.4,3053.1,3053.2,81825.9,81943.8,9751.5,9750.2,9754.1,1928.2,1929.2,1930.4,1101.4,1101.4,1101.4,1657.7,1657.4,1658.1,11158.6,11166.5,16508.5,16517.9,3017.3,3016.8,3016.7,1627.1,1627.4,1627.9,3588.9,3588.7,3588.5,1648.0,1647.9,1648.3,51026.0,51119.6,3867.3,3867.9,1134.3,1133.5,1133.5,2622.6,2622.7,2623.0,1101.5,1101.4,1101.4,1277.0,1276.3,1276.7,3548.7,3547.3,27.889999,20.389999
4,4,18282.2,18294.5,1299.0,1298.6,1298.8,1101.4,1101.4,1101.5,4529.7,4529.8,4529.9,1101.4,1101.4,1101.4,3052.8,3053.1,81616.9,81859.6,9748.2,9746.7,9747.0,1927.9,1928.8,1929.9,1101.4,1101.4,1101.4,1657.5,1657.7,1657.9,11160.9,11162.0,16508.3,16508.3,3018.3,3017.3,3017.6,1626.9,1627.1,1628.1,3590.2,3590.1,3589.3,1648.5,1648.3,1648.7,51090.8,51109.4,3866.0,3866.8,1133.9,1133.1,1133.1,2623.0,2623.2,2623.3,1101.5,1101.4,1101.4,1277.1,1276.6,1276.9,3546.8,3546.8,27.889999,20.480000
5,5,18292.5,18297.3,1298.9,1298.4,1298.7,1101.4,1101.4,1101.4,4529.6,4529.7,4529.8,1101.4,1101.4,1101.4,3052.9,3053.3,81690.1,81765.7,9747.7,9744.9,9750.5,1928.0,1929.0,1930.3,1101.5,1101.4,1101.4,1658.1,1657.7,1658.5,11159.7,11164.3,16504.4,16511.7,3018.3,3017.3,3017.1,1626.7,1627.3,1628.0,3589.3,3589.0,3589.3,1648.4,1648.6,1648.6,51069.7,51113.5,3867.3,3867.4,1134.1,1133.2,1133.4,2623.0,2622.8,2623.1,1101.5,1101.4,1101.4,1275.9,1275.3,1275.6,3548.0,3549.1,27.889999,20.420000
6,6,18295.4,18290.6,1299.1,1298.6,1298.8,1101.5,1101.4,1101.5,4529.6,4529.4,4529.4,1101.4,1101.4,1101.4,3053.2,3053.1,81618.0,81764.6,9750.2,9754.2,9754.0,1928.0,1929.0,1930.1,1101.4,1101.4,1101.4,1657.9,1657.9,1658.2,11162.4,11163.3,16512.3,16502.1,3017.8,3017.1,3017.2,1626.5,1626.8,1627.7,3589.3,3589.1,3589.2,1648.4,1648.2,1648.8,51020.4,51118.3,3867.1,3867.0,1134.0,1133.3,1133.4,2622.4,2622.5,2623.3,1101.4,1101.4,1101.4,1276.6,1276.2,1276.2,3548.1,3546.6,27.879999,20.389999
7,7,18300.2,18300.8,1299.1,1298.6,1298.7,1101.5,1101.4,1101.4,4529.0,4529.5,4529.9,1101.4,1101.4,1101.4,3053.2,3052.9,81710.5,81707.2,9746.9,9747.4,9750.5,1928.2,1929.2,1930.1,1101.4,1101.4,1101.4,1657.5,1657.2,1657.8,11162.6,11162.0,16510.7,16510.7,3017.7,3017.2,3017.4,1626.6,1626.8,1627.7,3588.4,3588.1,3588.5,1648.2,1648.0,1648.4,51043.6,51111.6,3868.0,3867.3,1134.0,1133.3,1133.4,2622.6,2622.3,2623.0,1101.4,1101.4,1101.4,1276.4,1276.1,1276.3,3547.7,3548.0,27.889999,20.340000
8,8,18294.3,18296.0,1299.1,1298.5,1298.8,1101.5,1101.4,1101.4,4530.1,4530.1,4530.4,1101.4,1101.4,1101.4,3053.1,3053.1,81535.5,81823.7,9751.1,9751.7,9751.9,1928.3,1929.0,1930.0,1101.4,1101.4,1101.4,1658.2,1657.9,1658.4,11162.5,11163.3,16507.7,16509.7,3017.7,3017.4,3017.7,1626.5,1626.6,1627.6,3588.8,3588.4,3588.2,1648.1,1648.1,1648.3,51036.5,51140.1,3866.1,3866.9,1134.0,1133.3,1133.4,2623.2,2622.9,2623.7,1101.4,1101.4,1101.4,1275.9,1276.0,1276.1,3547.8,3547.6,27.889999,20.389999
9,9,18292.7,18297.7,1299.2,1298.6,1298.9,1101.4,1101.4,1101.4,4529.9,4529.6,4529.5,1101.5,1101.4,1101.4,3052.8,3053.0,81772.8,81829.2,9748.6,9750.7,9751.0,1928.3,1929.7,1930.5,1101.4,1101.4,1101.4,1657.9,1657.8,1658.4,11161.8,11162.3,16494.5,16504.2,3017.4,3016.9,3017.2,1626.4,1626.7,1627.4,3589.0,3587.9,3588.1,1647.9,1647.8,1648.3,51048.2,51163.4,3866.8,3867.5,1134.1,1133.2,1133.3,2622.6,2622.2,2622.7,1101.5,1101.4,1101.4,1275.9,1275.5,1275.8,3546.9,3546.7,27.920000,20.309999
