,count,s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,s_22,s_23,s_24,s_25,s_26,s_27,s_28,s_29,s_30,s_31,s_32,s_33,s_34,s_35,s_36,s_37,s_38,s_39,s_40,s_41,s_42,s_43,s_44,s_45,s_46,s_47,s_48,s_49,s_50,s_51,s_52,s_53,s_54,s_55,s_56,s_57,s_58,s_59,s_60,s_61,s_62,s_63,temperature,humidity
0,0,24752.6,24764.4,1631.4,1631.0,1631.2,1101.4,1101.4,1101.4,6545.1,6545.4,6545.8,1434.5,1434.5,1434.6,3744.2,3744.0,93684.8,93738.4,13119.8,13117.2,13124.3,2389.1,2391.2,2393.0,1208.5,1208.4,1208.5,2106.2,2105.7,2105.9,14036.7,14037.2,20497.7,20501.1,3504.2,3502.9,3502.3,2119.4,2119.9,2120.6,4847.4,4846.5,4847.1,2165.7,2165.7,2166.1,62624.6,62603.9,4744.9,4745.8,1446.8,1446.0,1446.3,3691.5,3690.7,3691.1,1406.0,1405.7,1405.8,1580.6,1579.5,1579.9,4603.7,4604.5,26.750000,28.340000
1,1,24744.4,24753.1,1631.2,1630.9,1631.3,1101.4,1101.4,1101.4,6545.4,6546.2,6546.8,1434.3,1434.2,1434.6,3744.0,3744.4,93584.2,93771.1,13113.7,13110.0,13119.5,2389.7,2391.6,2393.2,1208.5,1208.3,1208.5,2105.9,2106.6,2107.4,14040.4,14036.5,20490.9,20493.8,3504.4,3504.2,3504.0,2119.2,2119.7,2120.7,4848.5,4848.2,4848.4,2165.9,2166.5,2166.6,62490.8,62560.2,4747.7,4747.7,1447.3,1446.5,1446.9,3690.4,3691.2,3692.4,1406.4,1405.7,1405.6,1579.7,1579.6,1580.0,4604.2,4603.8,26.730000,28.290001
2,2,24749.7,24753.0,1631.7,1631.2,1631.2,1101.4,1101.4,1101.4,6542.6,6544.5,6545.0,1433.9,1433.9,1434.4,3743.7,3744.1,93543.7,93846.6,13110.3,13115.6,13124.1,2389.0,2390.8,2392.5,1208.4,1208.4,1208.5,2105.6,2105.9,2106.6,14039.4,14045.4,20491.1,20486.5,3503.6,3503.0,3502.4,2119.0,2119.5,2120.4,4846.8,4846.8,4846.8,2165.3,2165.5,2166.2,62477.6,62610.7,4746.2,4746.3,1446.8,1446.2,1446.3,3690.9,3691.3,3692.2,1405.7,1405.3,1405.4,1580.0,1579.7,1579.9,4603.9,4602.9,26.760000,28.309999
3,3,24741.2,24744.6,1632.0,1631.5,1631.8,1101.5,1101.4,1101.4,6542.5,6543.9,6543.5,1433.8,1433.7,1433.7,3743.9,3743.9,93653.6,93845.2,13115.5,13108.6,13112.7,2390.1,2391.7,2393.5,1208.4,1208.3,1208.5,2106.4,2106.3,2106.7,14035.1,14040.4,20488.5,20485.3,3504.8,3503.6,3504.4,2119.2,2119.5,2120.3,4848.0,4847.8,4848.3,2165.4,2165.6,2166.1,62525.0,62562.8,4745.8,4743.9,1446.7,1446.0,1446.0,3690.8,3691.2,3692.0,1406.2,1405.9,1405.8,1579.6,1579.0,1579.7,4601.4,4602.4,26.750000,28.270000
4,4,24749.2,24746.5,1631.8,1631.4,1631.6,1101.4,1101.4,1101.4,6542.2,6543.2,6544.3,1433.8,1433.6,1434.1,3743.8,3743.6,93446.2,93967.5,13107.6,13102.2,13103.4,2389.0,2391.1,2392.6,1208.4,1208.3,1208.4,2106.1,2106.5,2106.6,14038.4,14043.8,20487.9,20487.8,3503.8,3503.4,3503.1,2118.6,2119.0,2120.0,4844.4,4844.0,4845.0,2164.9,2165.0,2165.7,62550.2,62579.3,4745.0,4745.8,1446.4,1446.0,1446.0,3689.4,3690.4,3690.1,1405.8,1405.1,1405.3,1580.3,1579.7,1580.2,4605.2,4605.7,26.750000,28.209999
5,5,24729.6,24750.1,1630.8,1630.3,1630.7,1101.4,1101.4,1101.4,6542.1,6542.3,6543.1,1433.1,1433.1,1433.6,3742.7,3742.8,93563.2,93693.5,13106.2,13104.3,13105.4,2389.5,2391.3,2393.1,1208.4,1208.2,1208.3,2106.3,2105.9,2106.1,14030.2,14037.9,20496.2,20477.7,3501.0,3499.4,3498.9,2118.7,2119.4,2120.2,4838.4,4838.3,4837.0,2162.3,2162.2,2163.1,62519.8,62505.3,4743.7,4744.7,1445.9,1445.3,1445.2,3686.3,3686.5,3687.2,1406.2,1405.5,1405.1,1580.8,1580.0,1579.8,4602.9,4602.3,26.750000,28.250000
6,6,24725.0,24724.9,1629.0,1628.6,1628.8,1101.4,1101.4,1101.4,6538.2,6539.1,6538.8,1432.0,1431.9,1432.3,3741.0,3741.3,93536.5,93894.7,13109.6,13108.6,13116.3,2390.8,2392.8,2394.3,1208.1,1208.0,1208.1,2104.9,2105.2,2105.7,14030.6,14042.2,20467.5,20477.3,3492.3,3491.3,3490.8,2119.5,2120.1,2121.2,4836.3,4837.1,4838.2,2160.9,2161.5,2161.6,62383.2,62576.7,4744.8,4745.6,1446.5,1445.8,1445.8,3685.7,3685.9,3685.7,1406.3,1405.7,1405.7,1581.6,1581.5,1581.8,4606.0,4605.3,26.730000,28.750000
7,7,24724.0,24722.6,1629.2,1628.8,1629.3,1101.4,1101.4,1101.4,6541.2,6542.9,6543.5,1433.3,1433.3,1433.8,3741.6,3741.6,93526.3,93684.8,13117.9,13117.5,13117.1,2391.9,2394.0,2396.0,1209.2,1209.0,1209.1,2106.4,2106.8,2107.1,14044.0,14045.9,20488.5,20497.5,3496.1,3496.2,3495.7,2120.2,2121.1,2121.8,4842.1,4840.8,4840.5,2162.3,2162.1,2162.3,62392.5,62520.5,4743.7,4744.2,1446.3,1445.6,1445.6,3684.6,3684.5,3684.8,1406.2,1405.6,1405.9,1581.9,1582.3,1582.4,4604.6,4605.3,26.770000,29.590000
8,8,24720.6,24749.2,1629.1,1628.9,1629.2,1101.5,1101.4,1101.4,6542.0,6542.9,6544.2,1432.5,1432.3,1432.9,3741.0,3741.5,93673.2,94057.3,13114.5,13125.9,13125.9,2393.3,2395.0,2396.2,1208.9,1208.9,1209.0,2105.7,2105.9,2106.2,14036.1,14043.8,20486.5,20471.0,3490.2,3489.3,3490.0,2120.4,2121.1,2122.2,4840.4,4840.3,4842.0,2161.1,2161.6,2162.0,62502.1,62598.1,4742.8,4744.7,1447.2,1446.5,1446.5,3687.9,3688.2,3688.5,1407.3,1406.6,1406.4,1582.7,1581.7,1582.1,4615.9,4614.6,26.750000,30.090000
9,9,24748.1,24750.4,1630.5,1629.9,1630.3,1101.4,1101.4,1101.4,6542.9,6545.3,6546.4,1434.9,1434.8,1435.4,3742.5,3742.7,93560.3,93769.6,13123.4,13123.0,13120.2,2393.2,2395.1,2396.7,1209.6,1209.5,1209.6,2107.1,2106.3,2106.6,14042.3,14043.5,20493.2,20476.6,3490.4,3489.1,3488.0,2119.9,2120.2,2120.9,4828.4,4825.4,4824.7,2158.3,2158.2,2158.4,62424.7,62489.5,4742.3,4742.4,1445.6,1445.1,1445.2,3682.9,3682.4,3681.5,1406.3,1405.5,1405.6,1581.8,1581.6,1581.9,4608.6,4609.0,26.750000,30.629999
