,count,s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,s_22,s_23,s_24,s_25,s_26,s_27,s_28,s_29,s_30,s_31,s_32,s_33,s_34,s_35,s_36,s_37,s_38,s_39,s_40,s_41,s_42,s_43,s_44,s_45,s_46,s_47,s_48,s_49,s_50,s_51,s_52,s_53,s_54,s_55,s_56,s_57,s_58,s_59,s_60,s_61,s_62,s_63,temperature,humidity
0,0,28488.2,28491.1,1781.4,1780.9,1781.1,1331.1,1331.4,1331.9,8562.7,8562.6,8564.4,1915.7,1915.1,1915.4,4625.4,4625.8,104915.4,104934.5,15780.2,15779.6,15787.3,2797.1,2800.3,2802.3,1568.3,1568.4,1568.4,2489.4,2488.3,2488.8,15634.1,15639.7,24009.1,24007.1,3478.1,3475.9,3475.3,2410.0,2410.3,2411.3,5913.5,5914.9,5914.2,2971.7,2972.2,2972.5,70046.0,70171.5,5824.2,5822.2,1731.9,1731.4,1731.2,4981.0,4981.0,4981.2,1611.6,1610.7,1610.7,1665.4,1665.0,1665.2,5296.5,5296.7,27.340000,39.459999
1,1,28534.1,28525.4,1779.3,1778.3,1778.3,1324.9,1325.4,1326.0,8570.0,8569.2,8570.5,1912.0,1911.6,1911.4,4624.4,4625.2,105007.2,105373.5,15779.7,15782.7,15791.8,2801.2,2804.5,2807.0,1566.9,1567.1,1567.2,2487.9,2487.5,2488.0,15638.3,15641.1,23989.8,23978.1,3460.7,3459.5,3459.7,2408.4,2408.9,2409.9,5906.9,5907.7,5909.4,2954.1,2955.5,2956.2,70120.7,70278.2,5821.9,5823.8,1725.8,1724.8,1724.8,4987.5,4987.5,4987.8,1612.2,1611.2,1611.6,1665.0,1663.8,1664.5,5297.7,5297.7,27.340000,43.020000
2,2,28505.2,28508.7,1774.1,1773.5,1773.9,1316.7,1317.3,1318.1,8581.1,8582.8,8583.0,1908.3,1907.6,1907.5,4625.3,4625.5,104844.5,105167.7,15782.6,15794.5,15791.7,2803.7,2806.2,2808.6,1568.4,1568.7,1568.9,2488.7,2488.1,2487.9,15635.9,15635.5,24033.2,24006.9,3461.6,3461.0,3460.2,2407.8,2408.3,2409.5,5910.6,5911.2,5914.7,2949.4,2949.9,2951.6,70206.5,70190.6,5825.1,5824.7,1722.2,1721.8,1721.6,4995.1,4995.9,4996.2,1613.4,1613.2,1613.2,1664.5,1663.7,1663.8,5301.0,5298.3,27.320000,46.529999
3,3,28531.9,28540.2,1773.8,1773.2,1773.6,1315.5,1316.0,1317.1,8594.4,8595.5,8596.6,1910.8,1910.9,1910.7,4626.5,4626.2,105280.1,105167.7,15797.6,15808.5,15807.6,2804.1,2806.7,2809.3,1570.5,1570.8,1571.1,2490.1,2489.2,2489.4,15637.4,15637.6,24010.4,24014.3,3465.1,3464.5,3464.4,2408.0,2408.3,2409.8,5919.2,5920.6,5922.5,2952.1,2953.6,2954.0,70242.3,70243.2,5825.9,5825.7,1723.8,1723.3,1723.7,5003.2,5004.7,5005.9,1615.2,1614.6,1615.1,1666.1,1665.5,1665.9,5304.7,5303.0,27.340000,49.700001
4,4,28558.3,28563.7,1776.8,1776.4,1777.0,1318.8,1319.7,1320.4,8608.4,8610.8,8611.6,1915.7,1915.3,1916.5,4628.5,4628.4,105089.2,105357.0,15806.8,15809.4,15811.2,2805.4,2808.3,2810.3,1574.1,1574.1,1574.4,2492.5,2491.7,2492.2,15643.2,15642.5,24017.1,24029.7,3473.1,3472.7,3472.0,2408.6,2409.5,2410.2,5932.4,5932.3,5934.0,2957.9,2958.7,2959.9,70096.7,70328.4,5827.3,5826.8,1729.6,1729.1,1729.1,5011.4,5010.6,5012.4,1618.0,1617.2,1617.4,1668.2,1667.7,1667.8,5306.9,5307.4,27.340000,51.500000
5,5,28570.6,28564.5,1779.6,1778.7,1778.9,1324.3,1324.7,1325.5,8616.0,8623.7,8622.2,1919.9,1919.0,1919.4,4629.5,4629.2,105171.3,105119.3,15807.2,15814.8,15825.0,2806.9,2810.2,2812.2,1574.7,1574.8,1575.0,2491.0,2491.1,2491.5,15637.9,15646.8,24033.7,24029.0,3469.2,3467.9,3468.3,2407.3,2408.0,2408.6,5926.0,5927.3,5927.9,2950.7,2951.9,2952.5,70235.8,70453.3,5827.1,5827.4,1729.8,1728.9,1729.1,5013.9,5014.7,5015.3,1619.3,1618.4,1618.4,1666.7,1665.9,1666.7,5306.5,5304.9,27.320000,51.720001
6,6,28585.9,28589.4,1779.1,1778.6,1778.8,1323.2,1323.7,1324.5,8628.4,8629.3,8629.4,1918.4,1918.3,1918.3,4629.3,4629.2,105046.4,105262.7,15812.3,15809.7,15816.6,2806.9,2809.2,2811.8,1576.0,1576.1,1576.3,2491.7,2491.5,2491.8,15639.9,15645.5,24039.4,24042.2,3473.2,3473.0,3472.5,2407.3,2407.7,2408.8,5931.6,5931.7,5931.5,2948.2,2949.5,2949.8,70230.5,70301.5,5823.4,5824.4,1727.0,1726.1,1726.3,5018.6,5016.9,5017.0,1619.4,1618.8,1619.0,1666.2,1665.6,1666.1,5305.8,5304.8,27.340000,51.520000
7,7,28583.4,28612.5,1777.4,1777.0,1777.1,1320.4,1320.9,1321.9,8634.3,8636.9,8637.4,1916.0,1914.9,1916.2,4628.8,4629.3,104991.8,105348.8,15808.3,15810.3,15824.1,2809.1,2812.6,2815.0,1575.7,1575.7,1576.0,2490.2,2489.6,2489.9,15645.5,15644.5,24043.8,24043.1,3462.9,3463.1,3462.6,2405.7,2405.9,2407.0,5920.8,5922.7,5922.2,2931.9,2933.1,2934.0,70273.3,70343.6,5823.3,5824.0,1721.7,1720.9,1721.0,5022.2,5022.6,5023.4,1620.1,1619.4,1619.5,1665.1,1663.9,1664.5,5305.5,5305.3,27.340000,52.020000
8,8,28588.5,28591.4,1775.5,1774.9,1775.2,1316.4,1317.1,1317.9,8642.8,8642.6,8645.4,1914.3,1913.1,1913.2,4629.0,4629.9,105114.8,105456.1,15801.5,15816.5,15818.3,2808.7,2811.9,2814.0,1575.9,1576.1,1576.2,2489.5,2489.6,2490.4,15640.4,15642.9,24022.6,24023.4,3459.1,3459.1,3459.1,2403.5,2404.9,2405.8,5922.4,5924.8,5927.6,2926.9,2928.7,2930.6,70346.8,70386.9,5826.8,5827.2,1720.8,1720.1,1720.4,5029.1,5029.6,5030.2,1622.0,1621.6,1621.5,1666.2,1665.6,1665.3,5313.4,5312.2,27.309999,53.099998
9,9,28602.7,28609.8,1778.6,1778.3,1778.8,1320.8,1321.6,1322.8,8656.7,8656.9,8656.8,1922.4,1921.9,1923.0,4631.4,4632.4,105232.5,105336.0,15811.2,15804.0,15821.7,2809.7,2812.4,2815.4,1583.1,1583.1,1583.4,2495.2,2494.9,2495.0,15641.0,15645.3,24066.4,24053.6,3486.6,3485.0,3485.2,2407.0,2407.5,2408.8,5950.7,5951.2,5951.5,2947.9,2948.5,2950.0,70362.8,70418.8,5831.5,5831.6,1730.7,1730.3,1730.8,5039.4,5038.5,5039.7,1625.4,1624.6,1624.5,1667.0,1666.4,1666.9,5315.9,5317.6,27.340000,54.419998
10,10,28602.5,28634.5,1781.7,1781.1,1781.3,1326.9,1327.3,1328.4,8669.1,8670.1,8671.1,1926.5,1926.3,1926.2,4633.6,4633.8,105055.5,105253.6,15811.6,15828.9,15834.8,2810.2,2813.2,2815.4,1583.1,1583.3,1583.6,2494.5,2494.4,2495.2,15646.8,15652.1,24064.3,24059.2,3486.8,3487.7,3487.2,2407.6,2408.0,2409.3,5955.4,5955.7,5958.2,2948.0,2948.8,2950.0,70403.7,70437.3,5835.8,5835.8,1732.8,1732.9,1732.5,5043.5,5044.9,5046.2,1627.1,1626.4,1626.6,1669.3,1668.6,1668.3,5313.9,5313.3,27.320000,53.669998
11,11,28656.3,28639.6,1784.3,1783.8,1784.0,1330.6,1331.0,1332.0,8680.9,8684.1,8682.3,1929.9,1929.7,1929.6,4635.1,4635.3,105156.7,105009.1,15817.4,15829.2,15819.9,2810.4,2813.3,2815.9,1586.2,1586.3,1586.5,2496.6,2496.1,2496.3,15650.8,15653.3,24070.8,24083.5,3500.8,3499.7,3499.7,2408.2,2409.1,2409.9,5959.8,5960.2,5961.6,2946.9,2947.8,2948.6,70300.7,70341.1,5832.5,5833.6,1729.0,1728.5,1728.6,5042.2,5042.8,5043.0,1627.1,1626.2,1626.2,1667.4,1666.9,1666.2,5318.3,5316.9,27.320000,52.820000
12,12,28639.3,28636.0,1781.1,1780.4,1780.6,1323.8,1324.3,1325.3,8684.8,8686.1,8687.6,1922.7,1922.6,1922.8,4634.5,4634.5,105317.6,105405.6,15824.1,15831.3,15828.3,2811.0,2814.7,2817.1,1585.4,1585.5,1585.7,2494.6,2494.5,2495.2,15646.1,15651.4,24085.2,24077.3,3486.6,3485.8,3486.8,2406.5,2406.8,2408.0,5951.5,5951.7,5953.7,2929.4,2930.6,2931.8,70384.5,70487.7,5832.3,5832.2,1721.3,1720.7,1721.2,5045.5,5045.5,5045.3,1626.8,1626.5,1626.0,1665.9,1665.1,1665.2,5318.2,5316.9,27.320000,52.150002
13,13,28636.4,28628.8,1779.7,1779.1,1779.6,1319.3,1319.9,1320.9,8691.1,8691.3,8693.5,1921.9,1921.5,1921.9,4634.9,4635.1,105050.0,105307.6,15840.1,15832.2,15838.1,2813.4,2816.2,2818.8,1587.5,1587.5,1587.7,2496.0,2496.9,2496.2,15639.9,15655.7,24081.3,24113.1,3496.7,3496.1,3496.5,2407.2,2408.1,2408.8,5969.0,5970.1,5971.9,2934.6,2936.0,2937.6,70335.0,70596.2,5834.3,5834.1,1721.4,1720.9,1721.1,5051.4,5051.7,5052.9,1628.8,1628.1,1628.2,1666.2,1666.2,1666.0,5320.4,5321.6,27.340000,53.520000
14,14,28639.6,28638.7,1781.1,1780.4,1780.8,1320.8,1321.4,1322.3,8702.3,8705.0,8704.8,1924.4,1924.3,1923.9,4636.7,4637.2,105285.6,105112.9,15834.5,15846.5,15846.8,2812.7,2815.6,2817.9,1591.7,1591.8,1591.9,2499.0,2498.9,2499.5,15651.1,15655.5,24067.5,24055.7,3508.3,3506.8,3506.2,2407.4,2407.8,2408.5,5972.6,5972.4,5973.2,2932.7,2933.7,2934.7,70331.7,70450.8,5831.8,5832.2,1719.9,1719.0,1719.5,5055.8,5055.9,5056.5,1629.6,1629.0,1628.6,1667.2,1666.3,1666.5,5321.5,5319.7,27.350000,54.730000
15,15,28647.8,28653.2,1780.3,1779.4,1780.0,1318.6,1319.2,1320.1,8711.5,8713.0,8713.9,1921.7,1921.6,1922.3,4637.1,4637.7,105075.5,105315.8,15845.0,15847.5,15846.5,2814.5,2817.7,2820.5,1588.6,1588.7,1589.0,2495.3,2495.2,2495.8,15649.3,15654.4,24085.9,24090.9,3484.7,3483.2,3483.9,2403.7,2404.2,2405.2,5956.8,5958.5,5958.1,2908.8,2909.4,2910.4,70469.3,70386.9,5832.4,5833.1,1715.0,1714.1,1715.1,5059.6,5061.3,5060.4,1630.8,1630.1,1630.5,1664.4,1664.2,1664.2,5323.4,5323.7,27.340000,55.240002
16,16,28638.7,28661.0,1777.9,1777.6,1778.1,1314.8,1315.5,1316.6,8716.5,8717.8,8718.3,1921.2,1920.3,1920.5,4637.7,4637.0,105491.9,105343.3,15871.2,15853.2,15856.5,2815.4,2818.5,2821.0,1587.8,1588.0,1588.4,2494.5,2494.3,2494.9,15650.3,15650.3,24087.5,24095.1,3483.1,3483.8,3483.7,2403.1,2404.0,2404.7,5971.8,5974.8,5979.6,2909.7,2911.4,2913.5,70466.8,70434.0,5837.5,5837.3,1718.7,1717.6,1717.7,5071.2,5071.7,5072.5,1633.8,1633.2,1633.6,1666.2,1665.6,1665.8,5323.3,5329.9,27.309999,56.349998
17,17,28681.4,28693.5,1786.3,1785.9,1786.0,1326.1,1326.8,1327.9,8737.3,8742.2,8740.5,1935.3,1935.7,1934.7,4642.4,4642.5,105227.1,105317.6,15851.9,15852.7,15855.4,2814.2,2817.1,2820.2,1596.1,1596.2,1596.2,2499.2,2498.8,2498.7,15658.2,15664.7,24107.1,24093.7,3503.7,3501.6,3501.4,2404.5,2405.1,2405.9,5980.3,5979.9,5982.1,2916.6,2917.4,2918.1,70376.3,70495.1,5839.5,5839.7,1723.5,1722.7,1723.0,5075.6,5075.0,5076.2,1635.0,1634.6,1634.9,1667.0,1665.8,1666.4,5333.5,5328.5,27.340000,57.520000
