,count,s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,s_22,s_23,s_24,s_25,s_26,s_27,s_28,s_29,s_30,s_31,s_32,s_33,s_34,s_35,s_36,s_37,s_38,s_39,s_40,s_41,s_42,s_43,s_44,s_45,s_46,s_47,s_48,s_49,s_50,s_51,s_52,s_53,s_54,s_55,s_56,s_57,s_58,s_59,s_60,s_61,s_62,s_63,temperature,humidity
51,51,22085.0,22105.9,1269.9,1270.4,1271.8,1101.4,1101.4,1101.4,6287.8,6291.2,6293.7,1242.8,1243.5,1245.3,3665.1,3665.8,88863.5,88979.7,11332.2,11338.9,11342.1,2180.6,2182.4,2184.1,1101.4,1101.4,1101.4,1843.7,1846.3,1848.6,12851.8,12857.5,18841.2,18834.9,2977.6,2981.2,2986.6,1725.1,1726.1,1727.7,3992.0,4003.8,4013.7,1832.3,1836.7,1840.3,58974.2,59266.5,4488.8,4489.9,1219.5,1221.0,1222.7,3701.6,3701.8,3703.3,1109.8,1109.4,1110.2,1361.8,1361.3,1361.3,4022.1,4022.6,28.440001,94.839996
52,52,22267.3,22272.2,1316.3,1314.6,1314.0,1101.5,1101.4,1101.4,6397.9,6399.7,6400.9,1267.9,1268.3,1269.3,3681.1,3681.8,88844.6,89144.7,11399.2,11397.6,11403.0,2186.1,2187.6,2190.3,1101.4,1101.4,1101.4,1862.9,1863.4,1864.5,12885.1,12895.0,18921.2,18931.3,3120.9,3131.1,3140.5,1736.8,1737.9,1739.6,4152.1,4160.5,4166.7,1891.7,1894.4,1897.5,59481.1,59552.5,4507.5,4507.9,1245.4,1245.0,1245.6,3721.5,3721.4,3721.6,1117.8,1117.3,1117.4,1365.2,1365.5,1365.4,4032.0,4032.8,28.400000,94.970001
53,53,22634.7,22648.9,1430.3,1431.1,1432.4,1101.4,1101.4,1101.4,6603.1,6606.2,6607.6,1355.6,1355.9,1356.9,3697.8,3698.3,89133.6,89247.9,11473.1,11476.9,11477.2,2189.1,2190.8,2193.0,1101.4,1101.4,1101.4,1854.2,1853.8,1854.7,12878.1,12883.4,18899.9,18911.6,3041.9,3040.9,3039.0,1729.0,1728.6,1728.2,3993.0,3986.4,3984.0,1787.0,1786.6,1787.9,58918.5,59042.7,4509.2,4510.0,1232.3,1230.7,1230.7,3723.9,3724.9,3727.0,1118.7,1118.7,1120.0,1366.7,1366.6,1367.4,4043.7,4043.0,28.330000,94.989998
54,54,22712.3,22718.4,1448.2,1447.6,1447.1,1101.4,1101.4,1101.4,6655.0,6657.0,6657.9,1356.7,1356.6,1357.0,3707.8,3707.9,88979.7,89217.0,11485.6,11485.1,11483.9,2192.9,2194.7,2196.5,1101.4,1101.4,1101.4,1867.3,1867.8,1868.9,12924.0,12933.0,19000.1,19002.0,3166.9,3179.9,3192.6,1740.8,1742.0,1743.7,4158.2,4167.1,4168.2,1869.4,1867.0,1862.2,59174.3,59267.0,4516.7,4516.8,1238.3,1237.0,1236.3,3733.7,3734.0,3733.9,1118.0,1116.7,1116.6,1361.1,1360.2,1360.3,4043.8,4043.5,28.340000,94.220001
55,55,22434.6,22448.2,1318.0,1318.7,1320.2,1101.5,1101.4,1101.4,6529.0,6534.6,6538.9,1276.9,1277.8,1279.0,3714.9,3715.0,89121.8,89328.9,11508.5,11510.1,11520.7,2197.2,2198.8,2200.5,1101.5,1101.4,1101.5,1884.6,1885.9,1887.5,12982.6,12981.7,19114.0,19114.8,3261.2,3264.7,3268.2,1749.4,1750.1,1750.7,4263.9,4265.7,4268.4,1918.7,1920.1,1921.6,59850.0,59885.5,4536.3,4537.0,1259.4,1259.6,1260.0,3764.1,3765.3,3765.8,1130.3,1129.4,1129.0,1370.5,1369.4,1369.3,4053.5,4052.4,28.440001,91.239998
56,56,22799.9,22813.6,1434.8,1436.1,1436.8,1101.5,1101.4,1101.4,6726.3,6726.6,6726.3,1344.6,1341.8,1339.0,3729.7,3730.0,89341.4,89595.8,11553.1,11558.9,11559.1,2194.3,2195.6,2197.2,1104.8,1104.7,1104.5,1895.0,1893.3,1891.8,13005.1,13003.9,19081.8,19078.0,3298.6,3297.5,3296.5,1751.1,1751.2,1751.3,4187.1,4176.6,4165.2,1878.5,1870.0,1859.9,59236.0,59309.7,4532.5,4532.7,1230.4,1228.0,1226.3,3755.1,3755.3,3756.4,1122.4,1122.0,1122.5,1363.5,1362.6,1362.9,4056.8,4056.8,28.400000,89.889999
57,57,22687.5,22642.5,1355.3,1351.2,1349.9,1101.4,1101.4,1101.4,6685.5,6696.0,6703.9,1332.1,1337.4,1341.8,3740.7,3741.2,89614.4,89787.1,11580.5,11581.3,11578.0,2200.9,2202.4,2204.0,1106.8,1106.6,1107.0,1902.2,1903.0,1903.5,13027.7,13033.3,19112.8,19109.9,3327.0,3305.6,3281.6,1749.3,1747.4,1745.9,4146.7,4120.5,4095.4,1812.7,1792.8,1774.8,58887.2,58913.6,4535.7,4536.3,1219.4,1219.9,1220.9,3769.6,3769.9,3771.5,1127.5,1127.6,1128.3,1367.4,1367.2,1368.3,4066.9,4066.2,28.469999,85.599998
58,58,22864.8,22891.0,1410.3,1413.8,1417.3,1101.4,1101.4,1101.4,6763.3,6766.6,6769.2,1342.2,1343.5,1344.9,3752.6,3752.5,89572.6,89952.5,11594.6,11599.5,11604.2,2206.0,2207.6,2209.3,1101.4,1101.4,1101.4,1884.3,1884.7,1885.6,13051.8,13057.8,19188.7,19200.6,3231.8,3234.8,3237.7,1754.4,1754.9,1755.8,4242.6,4244.6,4247.6,1932.1,1933.4,1935.1,59963.0,60048.6,4558.5,4559.4,1265.4,1264.3,1263.7,3781.3,3781.3,3782.1,1137.1,1136.6,1136.8,1374.7,1374.0,1374.1,4072.4,4072.4,28.510000,86.419998
59,59,22984.4,22985.8,1443.4,1441.4,1440.1,1101.4,1101.4,1101.4,6840.2,6839.7,6840.9,1362.9,1363.8,1365.6,3763.0,3763.0,89620.4,89844.4,11625.4,11621.9,11625.5,2205.8,2207.4,2209.0,1110.8,1110.9,1111.3,1899.5,1899.3,1900.0,13092.6,13100.4,19267.8,19262.2,3331.1,3331.8,3332.2,1762.1,1762.4,1763.3,4317.3,4318.2,4318.2,1971.4,1972.1,1972.8,60204.0,60336.3,4565.2,4565.6,1269.0,1268.7,1268.7,3793.7,3794.1,3794.1,1141.2,1140.5,1140.5,1378.1,1377.2,1377.5,4075.7,4076.5,28.430000,85.180000
60,60,23037.9,23052.2,1469.9,1470.0,1471.7,1101.4,1101.4,1101.4,6887.3,6890.1,6890.8,1396.9,1397.5,1398.9,3771.9,3772.2,89795.8,90011.3,11639.4,11638.2,11644.9,2206.4,2208.3,2208.9,1119.0,1119.1,1119.4,1906.4,1906.8,1906.8,13119.3,13122.3,19301.0,19313.1,3382.3,3382.5,3383.5,1767.1,1767.4,1768.2,4357.9,4357.9,4358.5,1990.7,1991.0,1992.2,60425.8,60509.8,4581.3,4582.0,1285.4,1285.2,1285.7,3823.7,3825.3,3827.4,1148.5,1148.2,1148.2,1380.9,1380.3,1380.8,4091.2,4089.8,28.440001,79.510002
